origin;per_capita
Albania                 ;0,0000003471
Andorra                 ;0,0000129631
Argentina               ;0,000000402
Armenia                 ;0,0000003381
Australia               ;0,0000051978
Austria                 ;0,0000042434
Azerbaijan              ;0,0000000995
Bahrain                 ;0,0000006093
Belarus                 ;0,0000006348
Belgium                 ;0,0000050263
Bolivia                 ;0,0000000869
Bosnia and Herzegovina  ;0,0000012118
Brazil                  ;0,0000002796
Bulgaria                ;0,0000017143
Canada                  ;0,0000043035
Chile                   ;0,0000006859
China                   ;0,0000000021
Colombia                ;0,0000000596
Costa Rica              ;0,0000007925
Croatia                 ;0,0000024211
Cyprus                  ;0,0000058403
Denmark                 ;0,0000117813
Ecuador                 ;0,0000000576
Egypt                   ;0,0000000199
Estonia                 ;0,0000098065
Finland                 ;0,0000554937
France                  ;0,0000034086
Georgia                 ;0,0000002502
Germany                 ;0,0000047535
Greece                  ;0,0000079248
Greenland               ;0,0000176454
Hungary                 ;0,0000022716
Iceland                 ;0,0000737396
India                   ;0,0000000059
Indonesia               ;0,0000000185
Iran                    ;0,0000001809
Iraq                    ;0,0000000254
Ireland                 ;0,0000038915
Israel                  ;0,0000018781
Italy                   ;0,0000036003
Japan                   ;0,0000004099
Jordan                  ;0,000000495
Latvia                  ;0,0000125869
Lebanon                 ;0,0000005835
Liechtenstein           ;0,0000263026
Lithuania               ;0,0000032613
Luxembourg              ;0,0000048723
Malaysia                ;0,0000000313
Malta                   ;0,000011354
Mexico                  ;0,0000001176
Moldova                 ;0,0000004946
Monaco                  ;0,0000513294
New Zealand             ;0,0000022998
Norway                  ;0,0000412727
Peru                    ;0,000000123
Poland                  ;0,0000026394
Portugal                ;0,0000043027
Romania                 ;0,0000025304
Russian Federation      ;0,0000004936
Saudi Arabia            ;0,0000000292
Serbia                  ;0,0000019379
Singapore               ;0,0000008614
Slovenia                ;0,0000043297
South Africa            ;0,0000000854
Spain                   ;0,0000016689
Sri Lanka               ;0,0000000938
Sweden                  ;0,0000474275
Switzerland             ;0,000006169
Syria                   ;0,0000005858
Taiwan                  ;0,0000001262
Turkey                  ;0,0000001678
Ukraine                 ;0,0000005683
United Kingdom          ;0,0000051088
United States of America;0,0000034613
Venezuela               ;0,0000000351
