Year,Gender,count,ratio
1928,M,5,100.0
1929,M,5,100.0
1930,M,6,100.0
1931,M,5,100.0
1932,M,3,100.0
1933,M,3,100.0
1934,M,3,100.0
1935,M,4,100.0
1936,M,5,100.0
1937,M,5,100.0
1938,M,5,100.0
1939,M,5,100.0
1940,M,5,100.0
1941,M,5,100.0
1942,M,5,100.0
1943,M,5,100.0
1944,M,5,100.0
1945,M,5,100.0
1946,M,5,100.0
1947,M,5,100.0
1948,M,5,100.0
1949,M,5,100.0
1950,M,5,100.0
1951,M,5,100.0
1952,M,5,100.0
1953,M,5,100.0
1954,M,5,100.0
1955,M,5,100.0
1956,M,5,100.0
1957,M,5,100.0
1958,M,5,100.0
1959,M,5,100.0
1960,M,5,100.0
1961,M,6,100.0
1962,M,5,100.0
1963,M,5,100.0
1964,M,5,100.0
1965,M,5,100.0
1966,M,5,100.0
1967,M,5,100.0
1968,M,5,100.0
1969,M,5,100.0
1970,M,5,100.0
1971,M,5,100.0
1972,M,5,100.0
1973,M,5,100.0
1974,M,5,100.0
1975,M,5,100.0
1976,M,4,80.0
1977,M,5,100.0
1978,M,6,100.0
1979,M,5,100.0
1980,M,5,100.0
1981,M,5,100.0
1982,M,5,100.0
1983,M,5,100.0
1984,M,5,100.0
1985,M,5,100.0
1986,M,5,100.0
1987,M,5,100.0
1988,M,5,100.0
1989,M,5,100.0
1990,M,5,100.0
1991,M,5,100.0
1992,M,5,100.0
1993,M,4,80.0
1994,M,5,100.0
1995,M,5,100.0
1996,M,5,100.0
1997,M,5,100.0
1998,M,5,100.0
1999,M,5,100.0
2000,M,5,100.0
2001,M,5,100.0
2002,M,5,100.0
2003,M,4,80.0
2004,M,5,100.0
2005,M,5,100.0
2006,M,5,100.0
2007,M,5,100.0
2008,M,5,100.0
2009,M,4,80.0
2010,M,5,100.0
2011,M,5,100.0
2012,M,5,100.0
2013,M,5,100.0
2014,M,5,100.0
2015,M,5,100.0
1976,W,1,20.0
1993,W,1,20.0
2003,W,1,20.0
2009,W,1,20.0
